"ctr","country","pdi","idv","mas","uai","ltowvs","ivr","Country_Code"
"AFE","Africa East",64,27,41,52,32,40,NA
"AFW","Africa West",77,20,46,54,9,78,NA
"ALB","Albania",NA,NA,NA,NA,61.4609571788413,14.5089285714286,"ALB"
"ALG","Algeria",NA,NA,NA,NA,25.9445843828715,32.3660714285714,"DZA"
"AND","Andorra",NA,NA,NA,NA,NA,65,"AND"
"ARA","Arab countries",80,38,53,68,23,34,NA
"ARG","Argentina",49,46,56,86,20.4030226700252,61.8303571428571,"ARG"
"ARM","Armenia",NA,NA,NA,NA,60.9571788413098,NA,"ARM"
"AUL","Australia",38,90,61,51,21.1586901763224,71.4285714285714,"AUS"
"AUT","Austria",11,55,79,70,60.4534005037783,62.7232142857143,"AUT"
"AZE","Azerbaijan",NA,NA,NA,NA,60.7052896725441,21.6517857142857,"AZE"
"BAN","Bangladesh",80,20,55,60,47.103274559194,19.6428571428571,"BGD"
"BLR","Belarus",NA,NA,NA,NA,80.8564231738035,14.9553571428571,"BLR"
"BEL","Belgium",65,75,54,94,81.8639798488665,56.6964285714286,"BEL"
"BEF","Belgium French",67,72,60,93,NA,NA,NA
"BEN","Belgium Netherl",61,78,43,97,NA,NA,NA
"BOS","Bosnia",NA,NA,NA,NA,69.7732997481108,44.1964285714286,NA
"BRA","Brazil",69,38,49,76,43.8287153652393,59.1517857142857,"BRA"
"BUL","Bulgaria",70,30,40,85,69.0176322418136,15.8482142857143,"BGR"
"BUF","Burkina Faso",NA,NA,NA,NA,27.455919395466,18.0803571428571,"BFA"
"CAN","Canada",39,80,52,48,36.0201511335013,68.3035714285714,"CAN"
"CAF","Canada French",54,73,45,60,NA,NA,NA
"CHL","Chile",63,23,28,86,30.9823677581864,68,"CHL"
"CHI","China",80,20,66,30,87.4055415617128,23.6607142857143,"CHN"
"COL","Colombia",67,13,64,80,13.0982367758186,83.0357142857143,"COL"
"COS","Costa Rica",35,15,21,86,NA,NA,"CRI"
"CRO","Croatia",73,33,40,80,58.4382871536524,33.2589285714286,"HRV"
"CYP","Cyprus",NA,NA,NA,NA,NA,69.8660714285714,"CYP"
"CZE","Czech Rep",57,58,57,74,70.0251889168766,29.4642857142857,NA
"DEN","Denmark",18,74,16,23,34.7607052896725,69.6428571428571,"DNK"
"DOM","Dominican Rep",NA,NA,NA,NA,13.0982367758186,54.2410714285714,NA
"ECA","Ecuador",78,8,63,67,NA,NA,"ECU"
"EGY","Egypt",NA,NA,NA,NA,6.80100755667506,4.24107142857143,"EGY"
"ETH","Ethiopia",NA,NA,NA,NA,NA,46,"ETH"
"SAL","El Salvador",66,19,40,94,19.647355163728,88.8392857142857,"SLV"
"EST","Estonia",40,60,30,60,82.1158690176322,16.2946428571429,"EST"
"FIN","Finland",33,63,26,59,38.2871536523929,57.3660714285714,"FIN"
"FRA","France",68,71,43,86,63.4760705289672,47.7678571428571,"FRA"
"GEO","Georgia",NA,NA,NA,NA,38.2871536523929,31.9196428571429,"GEO"
"GER","Germany",35,67,66,65,82.8715365239295,40.4017857142857,"DEU"
"GEE","Germany East",NA,NA,NA,NA,77.8337531486146,34.1517857142857,NA
"GHA","Ghana",NA,NA,NA,NA,3.5264483627204,72.3214285714286,"GHA"
"GBR","Great Britain",35,89,66,35,51.1335012594458,69.4196428571428,NA
"GRE","Greece",60,35,57,112,45.3400503778337,49.5535714285714,"GRC"
"GUA","Guatemala",95,6,37,101,NA,NA,"GTM"
"HOK","Hong Kong",68,25,57,29,60.9571788413098,16.9642857142857,NA
"HUN","Hungary",46,80,88,82,58.1863979848866,31.4732142857143,"HUN"
"ICE","Iceland",NA,NA,NA,NA,27.9596977329975,66.7410714285714,"ISL"
"IND","India",77,48,56,40,50.8816120906801,26.1160714285714,"IND"
"IDO","Indonesia",78,14,46,48,61.9647355163728,37.7232142857143,"IDN"
"IRA","Iran",58,41,43,59,13.6020151133501,40.4017857142857,NA
"IRQ","Iraq",NA,NA,NA,NA,24.9370277078086,16.7410714285714,"IRQ"
"IRE","Ireland",28,70,68,35,24.4332493702771,64.9553571428571,"IRL"
"ISR","Israel",13,54,47,81,37.5314861460957,NA,"ISR"
"ITA","Italy",50,76,70,75,61.4609571788413,29.6875,"ITA"
"JAM","Jamaica",45,39,68,13,NA,NA,"JAM"
"JPN","Japan",54,46,95,92,87.9093198992443,41.7410714285714,"JPN"
"JOR","Jordan",NA,NA,NA,NA,16.1209068010076,43.0803571428571,"JOR"
"KOR","Korea South",60,18,39,85,100,29.4642857142857,NA
"KYR","Kyrgyz Rep",NA,NA,NA,NA,65.9949622166247,39.2857142857143,NA
"LAT","Latvia",44,70,9,63,68.7657430730479,12.9464285714286,"LVA"
"LIT","Lithuania",42,60,19,65,81.8639798488665,15.625,"LTU"
"LUX","Luxembourg",40,60,50,70,63.9798488664987,56.0267857142857,"LUX"
"MAC","Macedonia Rep",NA,NA,NA,NA,61.712846347607,35.2678571428571,NA
"MAL","Malaysia",104,26,50,36,40.8060453400504,57.1428571428571,"MYS"
