"","wave1","wave2","wave3","wave4","wave5","wave6"
"e119_1",10,18,55,40,58,60
"d033",10,18,55,40,58,60
"b023",10,18,55,40,58,60
"a025_1",10,18,55,40,58,60
"e038",10,18,55,40,58,60
"e034_2",10,18,55,40,58,60
"d073",10,18,55,40,58,60
"e066",10,18,55,40,58,60
"e008",10,18,55,40,58,60
"f103",10,18,55,40,58,60
"a169_1",10,18,55,40,58,60
"a012",10,18,55,40,58,60
"f192_3",10,18,55,40,58,60
"c060_2",10,18,55,40,58,60
"g007_34_b",10,18,55,40,58,60
"a045_3",10,18,55,40,58,60
"f036",10,18,55,40,58,60
"f114_01",10,18,55,40,58,60
"d066_b",10,18,55,40,58,60
"g002_1",10,18,55,40,58,60
"a026_1",10,18,55,40,58,60
"e019",10,18,55,40,58,60
"f035",10,18,55,40,58,60
"a045_2",10,18,55,40,58,60
"e246",10,18,55,40,58,60
"f105",10,18,55,40,58,60
"e206",10,18,55,40,58,60
"c009_3",10,18,55,40,58,60
"d070",10,18,55,40,58,60
"e061",10,18,55,40,58,60
"e062_3",10,18,55,40,58,60
"d063_b",10,18,55,40,58,60
"a018",10,18,55,40,58,60
"e215",10,18,55,40,58,60
"e238_2",10,18,55,40,58,60
"d080",10,18,55,40,58,60
"e046",10,18,55,40,58,60
"e005_3",10,18,55,40,58,60
"f124",10,18,55,40,58,60
"i002",10,18,55,40,58,60
"e069_51",10,18,55,40,58,60
"i001",10,18,55,40,58,60
"a124_02",10,18,55,40,58,60
"d037",10,18,55,40,58,60
"a025_2",10,18,55,40,58,60
"f192_2",10,18,55,40,58,60
"a010",10,18,55,40,58,60
"e034_1",10,18,55,40,58,60
"a199",10,18,55,40,58,60
"d006",10,18,55,40,58,60
"c016",10,18,55,40,58,60
"e067",10,18,55,40,58,60
"a124_43",10,18,55,40,58,60
"a045_1",10,18,55,40,58,60
"e214",10,18,55,40,58,60
"d013",10,18,55,40,58,60
"b022",10,18,55,40,58,60
"d068",10,18,55,40,58,60
"e034_3",10,18,55,40,58,60
"d010",10,18,55,40,58,60
