"item","in_matrix","n_nonmissing","pct_nonmissing","waves_present","n_countries"
"e119_1",TRUE,313856,100,"1,2,3,4,5,6",98
"d033",TRUE,313856,100,"1,2,3,4,5,6",98
"b023",TRUE,313856,100,"1,2,3,4,5,6",98
"a025_1",TRUE,313856,100,"1,2,3,4,5,6",98
"e038",TRUE,313856,100,"1,2,3,4,5,6",98
"e034_2",TRUE,313856,100,"1,2,3,4,5,6",98
"d073",TRUE,313856,100,"1,2,3,4,5,6",98
"e066",TRUE,313856,100,"1,2,3,4,5,6",98
"e008",TRUE,313856,100,"1,2,3,4,5,6",98
"f103",TRUE,313856,100,"1,2,3,4,5,6",98
"a169_1",TRUE,313856,100,"1,2,3,4,5,6",98
"a012",TRUE,313856,100,"1,2,3,4,5,6",98
"f192_3",TRUE,313856,100,"1,2,3,4,5,6",98
"c060_2",TRUE,313856,100,"1,2,3,4,5,6",98
"g007_34_b",TRUE,313856,100,"1,2,3,4,5,6",98
"a045_3",TRUE,313856,100,"1,2,3,4,5,6",98
"f036",TRUE,313856,100,"1,2,3,4,5,6",98
"f114_01",TRUE,313856,100,"1,2,3,4,5,6",98
"d066_b",TRUE,313856,100,"1,2,3,4,5,6",98
"g002_1",TRUE,313856,100,"1,2,3,4,5,6",98
"a026_1",TRUE,313856,100,"1,2,3,4,5,6",98
"e019",TRUE,313856,100,"1,2,3,4,5,6",98
"f035",TRUE,313856,100,"1,2,3,4,5,6",98
"a045_2",TRUE,313856,100,"1,2,3,4,5,6",98
"e246",TRUE,313856,100,"1,2,3,4,5,6",98
"f105",TRUE,313856,100,"1,2,3,4,5,6",98
"e206",TRUE,313856,100,"1,2,3,4,5,6",98
"c009_3",TRUE,313856,100,"1,2,3,4,5,6",98
"d070",TRUE,313856,100,"1,2,3,4,5,6",98
"e061",TRUE,313856,100,"1,2,3,4,5,6",98
"e062_3",TRUE,313856,100,"1,2,3,4,5,6",98
"d063_b",TRUE,313856,100,"1,2,3,4,5,6",98
"a018",TRUE,313856,100,"1,2,3,4,5,6",98
"e215",TRUE,313856,100,"1,2,3,4,5,6",98
"e238_2",TRUE,313856,100,"1,2,3,4,5,6",98
"d080",TRUE,313856,100,"1,2,3,4,5,6",98
"e046",TRUE,313856,100,"1,2,3,4,5,6",98
"e005_3",TRUE,313856,100,"1,2,3,4,5,6",98
"f124",TRUE,313856,100,"1,2,3,4,5,6",98
"i002",TRUE,313856,100,"1,2,3,4,5,6",98
"e069_51",TRUE,313856,100,"1,2,3,4,5,6",98
"i001",TRUE,313856,100,"1,2,3,4,5,6",98
"a124_02",TRUE,313856,100,"1,2,3,4,5,6",98
"d037",TRUE,313856,100,"1,2,3,4,5,6",98
"a025_2",TRUE,313856,100,"1,2,3,4,5,6",98
"f192_2",TRUE,313856,100,"1,2,3,4,5,6",98
"a010",TRUE,313856,100,"1,2,3,4,5,6",98
"e034_1",TRUE,313856,100,"1,2,3,4,5,6",98
"a199",TRUE,313856,100,"1,2,3,4,5,6",98
"d006",TRUE,313856,100,"1,2,3,4,5,6",98
"c016",TRUE,313856,100,"1,2,3,4,5,6",98
"e067",TRUE,313856,100,"1,2,3,4,5,6",98
"a124_43",TRUE,313856,100,"1,2,3,4,5,6",98
"a045_1",TRUE,313856,100,"1,2,3,4,5,6",98
"e214",TRUE,313856,100,"1,2,3,4,5,6",98
"d013",TRUE,313856,100,"1,2,3,4,5,6",98
"b022",TRUE,313856,100,"1,2,3,4,5,6",98
"d068",TRUE,313856,100,"1,2,3,4,5,6",98
"e034_3",TRUE,313856,100,"1,2,3,4,5,6",98
"d010",TRUE,313856,100,"1,2,3,4,5,6",98
