,DZA,AZE,ARG,AUS,BHR,ARM,BRA,BLR,CHL,CHN,TWN,COL,CYP,ECU,EST,GEO,PSE,DEU,GHA,HKG,IND,IRQ,JPN,KAZ,JOR,KOR,KWT,KGZ,LBN,LBY,MYS,MEX,MAR,NLD,NZL,NGA,PAK,PER,PHL,POL,QAT,ROU,RUS,RWA,SGP,SVN,ZAF,ZWE,ESP,SWE,THA,TTO,TUN,TUR,UKR,EGY,USA,URY,UZB,YEM
DZA,8.808,0.875,0.492,0.322,1.112,1.057,0.764,0.694,0.62,0.857,0.895,0.74,0.616,0.793,0.334,1.191,1.617,0.443,0.841,0.444,0.316,2.25,0.849,0.552,1.393,0.633,3.586,0.622,1.149,1.619,1.386,0.651,4.147,0.596,0.649,1.09,0.88,1.042,1.234,1.178,2.288,0.987,0.729,0.615,0.948,0.433,1.057,0.933,0.533,0.239,0.512,1.139,2.869,1.109,0.58,1.78,0.775,0.414,0.92,2.22
AZE,0.41,35.669,0.058,0.138,0.151,1.603,0.106,0.916,0.228,3.39,1.68,0.093,0.196,0.206,0.614,0.969,0.479,0.221,0.209,0.467,0.028,0.454,1.997,1.147,0.695,1.331,0.818,0.898,0.435,0.6,3.366,0.079,1.403,0.298,0.25,0.141,0.15,0.17,0.215,0.197,0.636,0.71,1.014,0.183,0.531,0.307,0.175,0.108,0.195,0.064,0.614,0.155,0.723,1.218,0.72,1.192,0.131,0.157,2.729,0.479
ARG,0.636,0.144,20.487,1.894,0.735,0.224,2.014,0.538,2.685,0.681,0.82,1.417,1.024,1.259,1.352,0.445,0.429,1.518,0.423,0.766,0.328,0.241,2.025,0.483,0.253,0.595,0.763,0.313,0.641,0.233,0.434,1.395,0.676,3.147,2.963,0.395,0.412,1.628,0.434,2.263,0.219,1.142,0.654,1.376,1.227,4.126,0.867,0.787,4.553,2.554,0.716,2.151,0.943,0.43,0.738,0.457,2.42,2.256,0.121,0.356
AUS,0.197,0.237,0.609,19.363,0.227,0.232,0.629,0.697,1.226,1.515,1.591,0.457,0.681,0.217,1.72,0.298,0.145,4.698,0.098,1.702,0.085,0.138,3.276,0.284,0.107,0.798,0.542,0.148,0.229,0.119,0.176,0.512,0.282,13.219,14.001,0.104,0.088,0.473,0.147,1.64,0.307,0.544,0.586,0.284,1.33,3.168,0.274,0.168,4.743,9.877,0.345,0.89,0.276,0.261,0.335,0.139,6.24,1.59,0.239,0.169
BHR,2.05,1.17,1.018,0.912,40.807,0.756,1.886,1.06,1.772,2.604,2,1.074,1.216,1.23,0.526,0.724,1.513,2.168,1.108,1.615,1.094,0.836,3.627,0.826,1.204,1.567,3.027,1.291,2.868,0.776,2.441,0.909,1.536,2.704,1.833,1.831,1.696,1.159,1.087,2.485,1.44,1.334,1.037,3.359,4.761,1.075,2.784,1.041,1.435,0.985,1.699,1.193,1.356,2.047,0.74,1.574,2.921,1.501,0.942,0.421
ARM,0.41,0.876,0.074,0.134,0.206,6.111,0.155,0.774,0.148,1.037,0.707,0.154,0.257,0.147,0.231,2.662,0.41,0.163,0.363,0.186,0.038,0.699,0.46,0.412,0.484,0.356,0.717,0.378,0.398,0.321,0.31,0.129,2.517,0.355,0.308,0.319,0.237,0.272,0.109,0.504,0.333,0.767,0.479,0.317,0.197,0.303,0.158,0.365,0.237,0.07,0.128,0.265,0.84,0.648,0.592,0.43,0.254,0.162,0.432,0.683
BRA,0.842,0.166,1.188,1.07,0.916,0.42,7.533,0.577,1.697,0.542,0.911,2.521,1.425,1.111,0.419,0.87,0.399,0.899,0.504,0.58,0.2,0.336,1.04,0.268,0.39,0.36,1.244,0.21,0.668,0.362,0.345,1.976,1.214,1.693,1.854,0.343,0.312,2.195,0.537,2.364,0.549,1.277,0.597,0.538,0.877,1.326,0.877,0.788,2.547,0.882,0.322,3.011,1.116,0.324,0.587,0.554,1.992,1.664,0.196,0.46
BLR,0.446,1.075,0.18,0.663,0.345,1.01,0.298,7.794,0.622,2.886,2.216,0.153,0.525,0.202,2.469,1.31,0.412,0.9,0.231,1.194,0.084,0.35,2.187,1.982,0.175,2.417,0.479,0.868,0.432,0.121,0.629,0.204,0.703,1.491,1.104,0.181,0.091,0.344,0.216,0.906,0.283,0.645,2.576,0.525,1.161,0.811,0.366,0.342,1.296,0.515,0.443,0.365,0.513,0.621,2.36,0.449,1.118,0.362,0.837,0.265
CHL,0.437,0.499,1.83,1.914,0.799,0.356,1.524,0.783,10.201,1.107,1.877,1.543,1.537,1.02,1.308,0.46,0.352,2.489,0.252,1.303,0.162,0.261,3.292,0.579,0.326,0.926,0.848,0.291,0.534,0.243,0.528,1.242,0.857,3.465,3.122,0.225,0.22,1.748,0.34,2.25,0.301,0.868,0.901,0.522,1.377,3.1,0.562,0.446,4.436,2.716,0.49,1.083,0.65,0.473,0.794,0.579,1.769,3.052,0.304,0.377
CHN,0.381,2.995,0.16,1.164,0.915,1.057,0.251,2.509,0.597,31.849,5.37,0.102,0.304,0.192,2.756,0.402,0.305,1.702,0.11,4.377,0.147,0.262,5.305,2.804,0.183,3.887,0.976,0.778,0.783,0.131,1.307,0.18,0.584,2.758,1.833,0.111,0.114,0.315,0.267,0.684,0.39,0.477,2.134,0.344,2.444,0.845,0.4,0.123,1.524,1.097,0.745,0.195,0.279,0.56,1.427,0.574,1.118,0.8,2.529,0.122
